faits,type_cause,jugement
"المدعي يطالب بإفراغ المكتري بسبب عدم أداء واجبات الكراء منذ 6 أشهر.","كراء","مقبول"
"المدعى عليه سدد واجبات الكراء قبل الجلسة.","كراء","جزئيًا"
"المدعي لم يدل بعقد كراء مكتوب.","كراء","مرفوض"
"المدعية تطلب الطلاق للشقاق وتثبت سوء المعاملة بشهادات.","طلاق","مقبول"
"المدعية تطلب الطلاق بدون مبرر مقنع.","طلاق","مرفوض"
"المدعية تطلب الطلاق لغياب الزوج لأكثر من سنة مع بينة كتابية.","طلاق","مقبول"
"المدعي يثبت ملكيته للعقار ويطالب بتعويض عن نزع الملكية.","عقار","مقبول"
"المدعي لا يثبت الحيازة القانونية للعقار.","عقار","مرفوض"
"وجود نزاع عقاري غير مدعم بوثائق رسمية.","عقار","مرفوض"
"المتهم ضبط بحوزته المسروق وشهادة الشهود ضده.","جنائي","مقبول"
"غياب أدلة قاطعة على ارتكاب السرقة.","جنائي","مرفوض"
"تراجع الشاهد الوحيد أمام المحكمة.","جنائي","مرفوض"
